approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,latent_sigma_ask,latent_sigma_bid,network_architecture,policy_loss,seed,training_step,value_loss
0.011551584926201031,0.0490234375,-0.6088481245132593,0.15018407156330346,0.02638782170147468,0.04212943885769108,4.242657494544983,0.9960160851478577,0.9869532585144043,separate_actor_critic,-0.006015449843835086,1,39936,179.5894702911377
0.00012185659725219011,0.0,-0.5671581816214781,0.10573565791024538,-0.4416164354636119,0.026251914314613992,4.238101625442505,0.9945303201675415,0.9853839874267578,separate_actor_critic,-0.0024344822391867637,1,60416,808.138948059082
0.0018415629805531354,0.0,-0.23396368823969402,0.13361864081140135,-0.3272229248132461,0.04526533562414316,4.2298840403556826,0.9911093711853027,0.9826765656471252,separate_actor_critic,-0.001376795570831746,1,100352,11069.941137695312
0.0011951063759624958,0.0,-0.7151693510703552,0.0636335216738023,-0.6949059151686154,0.020966717653092062,4.231188547611237,0.9925598502159119,0.980411946773529,separate_actor_critic,-0.0015978505834937096,1,149504,13178.436840820312
0.0002017050690483302,0.0,-0.2847025165692545,0.13814881019278386,-0.9119663984347612,0.020278920922945358,4.231353962421418,0.9910336136817932,0.9815336465835571,separate_actor_critic,-0.000722969276830554,1,199680,20222.3404296875
0.00017802811926230787,0.0,-0.21471544860874137,0.14122408270673142,-0.9259222262944931,0.018556254446109876,4.2313442587852474,0.9909816980361938,0.981628954410553,separate_actor_critic,-0.0007609406369738281,1,204800,30003.575
0.007998626650078222,0.01767578125,-0.19140091717052155,0.07167265798005,-0.40188039709360174,0.02731234703084379,4.250877034664154,0.9988035559654236,0.9990910887718201,separate_actor_critic,-0.002745853445958346,2,10240,715.3079360961914
0.003653890494024381,0.02978515625,-0.028268241947919773,0.08690340489732512,-0.3417077761430007,0.02234224040030995,4.247189164161682,0.996618926525116,0.9988638758659363,separate_actor_critic,-0.007368060539010912,2,20480,1635.0795104980468
0.009650470275664702,0.05224609375,0.0517510615181751,0.27868680769245746,-0.10984396445176875,0.20248968872863446,4.247982513904572,1.0000768899917603,0.9993569254875183,separate_actor_critic,-0.004053768259473145,2,39936,162.5046199798584
0.006895086128497496,0.01357421875,0.014015387695951339,0.1488323810853303,-0.0058302226380851025,0.18956070206040643,4.239418530464173,0.9972643852233887,0.9971604943275452,separate_actor_critic,-0.005825911660213024,2,60416,595.0173812866211
0.00030690209823660555,0.0,0.029048535649557238,0.15627130279668208,-0.3113017362070819,0.18413002191497313,4.233186340332031,0.9948394894599915,0.9950143098831177,separate_actor_critic,-0.002129838860128075,2,100352,22995.180224609376
