approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,include_fill_feedback,latent_sigma_ask,latent_sigma_bid,paper_pnl_observation,policy_loss,relative_price,seed,training_step,value_loss
0.0009045836050063372,0.00087890625,0.05487166168705489,0.5951234610020735,-0.11530127774398678,0.6266875116221085,4.21417328119278,False,0.9942899346351624,0.9826197028160095,True,-0.0020713920006528498,True,1,199680,2478.013555908203
0.012166769290342928,0.0763671875,0.024883479591554555,0.5915607384758599,-0.13020819237885567,0.6718740105928672,4.214374768733978,False,0.9942713379859924,0.9825400114059448,True,-0.01057861722074449,True,1,204800,2265.6096801757812
0.011608748545404524,0.0568359375,0.06599039969270308,0.1262538446837135,-0.10980407948044535,0.18646290659098622,4.25642671585083,False,0.9964414238929749,0.9988813400268555,True,-0.008465156145393848,True,2,10240,429.0203826904297
0.0093963474733755,0.0408203125,0.10418026299956135,0.4484179690939561,-0.10047418057249907,0.2055132680305798,4.251956760883331,False,0.9944530725479126,0.9961322546005249,True,-0.006408690731041134,True,2,20480,3422.9717407226562
0.002300134184770286,0.00595703125,0.1260039935216833,0.2722665349140513,-0.06828416206662018,0.12408928626949693,4.2473922848701475,False,0.9943953156471252,0.9947245121002197,True,-0.0033505830680951474,True,2,39936,1378.8510833740233
0.0036368017201311885,0.0271484375,0.20249978865090854,0.536706469979302,-0.1229396132298578,0.34898763389583454,4.234804713726044,False,0.9896472096443176,0.9870246052742004,True,-0.006806018855422735,True,2,60416,1824.629901123047
0.004829806741327047,0.01904296875,0.34067628474380723,0.8075099967600926,0.071866760453066,0.2610964066310137,4.217692124843597,False,0.983434796333313,0.9802682399749756,True,-0.003878144279588014,True,2,100352,3181.837481689453
0.0029960522195324303,0.00029296875,0.7869757281282009,0.509695286570016,0.7034664121384804,0.43093628234897297,4.202752947807312,False,0.9793668985366821,0.9766897559165955,True,-0.0004211064660921693,True,2,149504,5889.454760742187
0.002195709792431444,0.00625,0.7589979203847739,0.6009468393280543,0.6538860866847711,0.47340546097529607,4.20045405626297,False,0.9844017028808594,0.9726499915122986,True,-0.006156394048593939,True,2,199680,16667.870654296876
0.00020186637411825358,0.0,0.7221261919691012,0.6408549415565385,0.6433485507774047,0.5361676006053753,4.192355918884277,False,0.9827184677124023,0.9696012735366821,True,-0.0014577475609257816,True,2,204800,34813.44057617187
0.00767634913790971,0.02041015625,-0.05166298776733665,0.22192063466196818,0.01472392313149519,0.39688731038931,4.250461947917938,False,0.9961309432983398,1.0011528730392456,True,-0.004540363163687289,True,3,10240,314.1653076171875
0.011526931368280202,0.05302734375,0.10465875776702514,0.40863725372653636,-0.005898888606446771,0.436829289855554,4.247791647911072,False,0.9933053255081177,1.001154899597168,True,-0.00961620460730046,True,3,20480,256.3714965820312
-2.8937868773937225e-05,0.0015625,0.24803635039342903,0.3317381173771313,0.055537976887530816,0.4638744501165907,4.243434751033783,False,0.991047203540802,1.0012831687927246,True,-0.003303960291668773,True,3,39936,1840.0369201660155
0.0022044334560632705,0.00146484375,0.33976670063387315,0.38731809942718665,0.11797264033976274,0.5240026183613453,4.239844238758087,False,0.9883361458778381,1.0033869743347168,True,-0.0024816487450152634,True,3,60416,938.8656982421875
0.0016313517407979816,0.0,-0.06328988706884094,0.3748839026932053,-0.004310693332734398,0.4452679006343075,4.233944535255432,False,0.9848064184188843,1.0027339458465576,True,-0.0015941081452183425,True,3,100352,1169.0356842041015
