approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,ent_coef,latent_sigma_ask_mean,latent_sigma_ask_state_std,latent_sigma_bid_mean,latent_sigma_bid_state_std,n_epochs,policy_loss,seed,training_step,two_side_mae,value_loss
0.0002572327114952107,0.0,-0.066522208840037,0.1766919134136958,0.003,0.9825139907690195,0.03168268902852462,0.9983374306788811,0.0428863501602888,3,-0.0015347735024988651,2,204800,0.1216070611268664,7540.440673828125
-0.0004612226621247828,0.0003255208333333333,-0.05030180616543079,0.003064087153866123,0.003,1.00251621619249,0.02659169229954504,0.9997857582874787,0.0267947853090228,3,-0.0008384136793514093,3,20480,0.026682946659648456,1320.9023844401042
2.10154103115201e-05,0.0,-0.030116028291209098,0.013993830496493059,0.003,1.0087914709861463,0.046895237911891756,0.9950238862098791,0.060334018371272266,3,-0.001493398721019427,3,60416,0.022054929393851078,1568.771219889323
0.0004432513378560543,0.0,-0.04095948519340406,0.011673028359953791,0.003,1.0058688703255776,0.04228516466255372,1.0112009662848251,0.03213981275523083,3,-0.0025907947371403375,3,100352,0.026316256776678926,4869.1275634765625
0.0003149476057539384,0.0,-0.03153185192973186,0.03519371901153742,0.003,1.0035510388704447,0.07850335159932793,1.0113976570276113,0.04334799788392162,3,1.6737418870131176e-05,3,149504,0.03336278547063464,5563.2035725911455
0.001137583904589216,0.008138020833333334,-0.0056700422995699905,-0.06710021863034807,0.003,0.9979072549404242,0.11249335988994652,1.0213055982039525,0.05394592392048025,3,-0.004480395931750536,3,199680,0.03638513046495903,1120.9650421142578
3.972833898539344e-05,0.0,-0.00814647891316921,-0.07550473237426605,0.003,1.0034108851200496,0.09577251548447058,1.0174893541213794,0.05702323427835722,3,-0.0014895913191139698,3,204800,0.04182560564371763,574.7885386149088
0.003378738882020116,0.0006510416666666666,0.10725968921652589,0.13731432633044627,0.003,0.9598009483936506,0.10051673152126939,0.9850649543297596,0.02307755937599958,3,-0.0016518086194992065,4,20480,0.12228700777348608,1163.5975240071614
0.0002795195517440637,0.0,0.0026551565292697306,0.19254720659347443,0.003,0.9768009465474349,0.09119331788450444,1.0243512595311188,0.14282301868811487,3,0.0003887667165448268,4,60416,0.09760118156137208,209.44845708211264
0.0009684928421241542,0.0,-0.06266430454113736,0.09332554461494184,0.003,0.9778917856705495,0.09795636688214432,1.0351794939774734,0.28960140962894393,3,-0.002449808952709039,4,100352,0.07799492457803961,408.3519872029622
0.0023280992560709515,0.034505208333333336,-0.11121107693642186,0.12901042486475303,0.003,0.9970145282072899,0.16236823309809345,1.0155514665139027,0.3476589543190676,3,-0.002919245084437231,4,149504,0.12011075090058745,165.65752538045248
