baseline,baseline_value,metric,paired_difference,seed,treatment,treatment_value
gamma_current_ppo,9.990384615384615,n_buy_mean,0.0,1,unit_current_ppo,9.990384615384615
gamma_current_ppo,2.2027744407193377,n_buy_std,0.0,1,unit_current_ppo,2.2027744407193377
gamma_current_ppo,10.009615384615385,n_sell_mean,0.0,1,unit_current_ppo,10.009615384615385
gamma_current_ppo,2.2027744407193377,n_sell_std,0.0,1,unit_current_ppo,2.2027744407193377
gamma_current_ppo,7.960961538461539,n_rl_won_mean,-0.5465384615384616,1,unit_current_ppo,7.414423076923077
gamma_current_ppo,7.069749685378211,n_rl_won_std,-0.04129216955191506,1,unit_current_ppo,7.028457515826296
gamma_current_ppo,12.039038461538462,n_competitor_won_mean,0.5465384615384608,1,unit_current_ppo,12.585576923076923
gamma_current_ppo,7.069749685378212,n_competitor_won_std,-0.04129216955191595,1,unit_current_ppo,7.028457515826296
gamma_current_ppo,0.3575917148324391,market_share_std,-0.006168839041124363,1,unit_current_ppo,0.35142287579131476
gamma_current_ppo,-0.10758247336483552,mean_epsilon_bid,0.14417849030594182,2,unit_current_ppo,0.036596016941106285
gamma_current_ppo,0.14625728365861085,mean_epsilon_ask,0.0719007649842108,2,unit_current_ppo,0.21815804864282165
gamma_current_ppo,0.628018201911277,epsilon_bid_std,0.0033462053087881527,2,unit_current_ppo,0.6313644072200651
gamma_current_ppo,0.6130261990804378,epsilon_ask_std,-0.009922940029030158,2,unit_current_ppo,0.6031032590514076
gamma_current_ppo,1.0022696256637573,latent_std_bid,-0.00436854362487793,2,unit_current_ppo,0.9979010820388794
gamma_current_ppo,0.9991646409034729,latent_std_ask,0.0017884373664855957,2,unit_current_ppo,1.0009530782699585
gamma_current_ppo,0.10758247336483552,analytical_error_bid,-0.07098645642372924,2,unit_current_ppo,0.036596016941106285
gamma_current_ppo,0.14625728365861085,analytical_error_ask,0.0719007649842108,2,unit_current_ppo,0.21815804864282165
gamma_current_ppo,-0.19338039767856782,deterministic_mean_epsilon_bid,0.23857573008737887,2,unit_current_ppo,0.04519533240881104
gamma_current_ppo,0.24679512021346733,deterministic_mean_epsilon_ask,0.10974241458166106,2,unit_current_ppo,0.3565375347951284
gamma_current_ppo,0.48682420980140023,mean_market_share,-0.05687228672447714,2,unit_current_ppo,0.4299519230769231
gamma_current_ppo,0.2768633635610311,mean_spread_pnl,-0.14819697221133954,2,unit_current_ppo,0.12866639134969154
gamma_current_ppo,0.3256155176436863,spread_pnl_std,-0.172878193115622,2,unit_current_ppo,0.1527373245280643
gamma_current_ppo,17.082262896874585,inventory_std,-8.776244052540566,2,unit_current_ppo,8.30601884433402
gamma_current_ppo,28.490724672933823,mean_total_pnl,-18.893589051623145,2,unit_current_ppo,9.597135621310677
gamma_current_ppo,0.05478985514025735,mean_total_pnl_per_step,-0.03633382509927528,2,unit_current_ppo,0.01845603004098207
gamma_current_ppo,39.85331850483702,gross_investor_volume_mean,-19.85331850483702,2,unit_current_ppo,20.0
gamma_current_ppo,6.332039509093788,gross_investor_volume_std,-6.332039509093788,2,unit_current_ppo,0.0
gamma_current_ppo,-0.11004600001481503,net_investor_flow_mean,0.0681229230917381,2,unit_current_ppo,-0.041923076923076924
gamma_current_ppo,11.019952345894009,net_investor_flow_std,-6.5240811466450035,2,unit_current_ppo,4.495871199249005
gamma_current_ppo,9.979038461538462,n_buy_mean,0.0,2,unit_current_ppo,9.979038461538462
gamma_current_ppo,2.2479355996245025,n_buy_std,0.0,2,unit_current_ppo,2.2479355996245025
gamma_current_ppo,10.020961538461538,n_sell_mean,0.0,2,unit_current_ppo,10.020961538461538
gamma_current_ppo,2.2479355996245025,n_sell_std,0.0,2,unit_current_ppo,2.2479355996245025
gamma_current_ppo,9.723076923076922,n_rl_won_mean,-1.1240384615384613,2,unit_current_ppo,8.599038461538461
gamma_current_ppo,7.14712463390309,n_rl_won_std,-0.010612406788819584,2,unit_current_ppo,7.13651222711427
gamma_current_ppo,10.276923076923078,n_competitor_won_mean,1.1240384615384613,2,unit_current_ppo,11.400961538461539
gamma_current_ppo,7.14712463390309,n_competitor_won_std,-0.010612406788819584,2,unit_current_ppo,7.13651222711427
gamma_current_ppo,0.3614425312650737,market_share_std,-0.004616919909360195,2,unit_current_ppo,0.3568256113557135
gamma_current_ppo,0.1661920169130854,mean_epsilon_bid,-0.034184827359746955,3,unit_current_ppo,0.13200718955333846
gamma_current_ppo,0.15722571197107474,mean_epsilon_ask,-0.038187522412862066,3,unit_current_ppo,0.11903818955821267
gamma_current_ppo,0.616178584338232,epsilon_bid_std,0.0041108884607599094,3,unit_current_ppo,0.6202894727989919
