approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,latent_sigma_ask,latent_sigma_bid,policy_loss,seed,training_step,value_loss
0.012093315017409623,0.0279296875,-0.001446973971458367,0.014498590933618263,-0.33323585918316473,0.012583024589129499,4.249363803863526,0.9951438903808594,0.9989539980888367,-0.0018080017645843327,2,20480,778.8979095458984
0.0034329997026361523,0.0208984375,-0.336139582326779,0.05899197596798801,-0.3682732661565145,0.01156503815952478,4.244598758220673,0.9930647015571594,1.0017317533493042,-0.003714870079420507,2,39936,279.17447395324706
-0.0001775880577042699,0.0,-0.7212099206753266,0.0031806651380318117,-0.36538230631596,0.002119652213211582,4.236738979816437,0.9958328604698181,0.9961429238319397,-9.818731341511011e-05,2,60416,1175.4571197509765
0.01930112344562076,0.06630859375,-0.6267727138140262,0.0016899588935989035,-0.2758930387405249,0.0013229219694327883,4.233875167369843,0.9989405274391174,0.9945306181907654,-0.002671769633889198,2,100352,1665.2851989746093
0.0006452667177654803,0.0,-0.44060059579519123,0.00035761944347072926,-0.32830722843989346,0.00024248316853461705,4.228309047222138,0.99610835313797,0.9949414730072021,-0.0010186283965595067,2,149504,12101.216552734375
-9.17757279239595e-06,0.0,-0.4360313095343419,0.0001797879638139159,-0.1574643197732094,0.00016761398378502168,4.221550154685974,0.994407594203949,0.9920752644538879,-7.204540306702257e-05,2,199680,20837.66025390625
0.0001431961660273373,0.0,-0.44723911866163596,0.00012473605258817862,-0.20028392783342264,0.00011090227302155553,4.222167992591858,0.9943488836288452,0.9924569725990295,-5.148549098521471e-05,2,204800,23184.393701171874
0.008277479978278279,0.031640625,0.3365046041134076,0.0483876183767348,0.08268902185164058,0.062013743047481286,4.250708270072937,0.9983130693435669,0.993929922580719,-0.005298212170600891,3,10240,190.6902011871338
0.0132916406088043,0.06357421875,0.49802021590562967,0.05016680293237912,0.02330794799252031,0.035409495528105045,4.251740562915802,0.9945816397666931,0.9901168346405029,-0.011335042188875377,3,20480,114.18116760253906
0.009991921111941337,0.058984375,0.6226807290162796,0.03516351725518154,0.02338014430096313,0.024052715334921336,4.249738109111786,0.990898609161377,0.9858214855194092,-0.010087026096880437,3,39936,690.6906326293945
0.0005494596320204437,0.00029296875,0.6936057622616107,0.0015469682485520298,0.8089532682528863,0.0006982731233586958,4.238483440876007,0.9894661903381348,0.9815996289253235,-0.003154322854243219,3,60416,810.0907165527344
0.02615682851173915,0.2234375,0.48578847493880833,0.06372012213241561,0.729660644592383,0.013214030008785873,4.2306782603263855,0.9878634214401245,0.9766489267349243,0.022139546810649335,3,100352,4133.924597167968
0.0015081160585395993,0.0,0.16255880024952765,0.0029704461001664913,0.6734928112763625,0.0005811369126845717,4.221026718616486,0.9826069474220276,0.9754600524902344,0.001469983533024788,3,149504,1785.3104125976563
-0.0004612361895851791,0.0,0.5160050778816908,0.00011064226220441443,0.4949381972734745,8.42660781819806e-05,4.217173409461975,0.9773593544960022,0.9764676094055176,-0.00025271254125982525,3,199680,9392.797802734374
0.00015237042680382729,0.0,0.6628960979290498,6.910229459599603e-05,0.5653982807428409,5.116227996244912e-05,4.214793598651886,0.9778047204017639,0.9714906811714172,-0.00013909178087487817,3,204800,1886.448486328125
0.006092919583898038,0.01943359375,-0.03395745625782113,0.06641688359152308,0.06871119096258786,0.03727054240556432,4.255776953697205,0.9947330355644226,1.0025978088378906,-0.006357094750273973,4,10240,673.682292175293
0.0019799482659436764,0.0,0.044679101417214276,0.04260197324253833,0.16142506501995602,0.03258142873594723,4.2546685338020325,0.9957565069198608,1.0024844408035278,-0.00035206956090405583,4,20480,1096.4214996337892
0.008480995183344931,0.0357421875,0.3452657999136509,0.030081337494617662,0.5732614361322843,0.015927774568485834,4.251356911659241,0.9947081804275513,1.0019742250442505,-0.0049503603484481575,4,39936,144.9072395324707
-0.0018401751178316772,0.0,0.7798448313505222,0.002157958373584991,0.614911991969133,0.0022212673098630283,4.250077581405639,0.9968495965003967,0.9986921548843384,0.0005118959001265466,4,60416,603.2724761962891
0.0003925200551748276,0.0,0.6447734779272324,0.000214670618714742,0.5834245339418069,0.00029873750833006075,4.241426575183868,0.9899740815162659,0.9957059025764465,-0.0003012796922121197,4,100352,625.3459106445313
0.0006741832941770554,0.0,0.8336983955823458,0.0021991294623313774,0.726817184380996,0.002153326745392399,4.229801821708679,0.985161542892456,0.9951785802841187,-0.0002428521867841482,4,149504,156.20523662567138
