seed,training_step,agent,evaluation_steps,market_share,captured_volume_per_step,spread_pnl_per_step,spread_pnl_per_captured_unit,normalized_spread_monetization,inventory_pnl_per_step,hedge_cost_per_step,total_pnl_per_step,mean_inventory,mean_abs_inventory,inventory_std,max_abs_inventory,mean_epsilon_bid,mean_epsilon_ask,mean_symmetric_quote_level,mean_quote_skew,mean_hedge_fraction,epsilon_near_bound_frequency,bid_clip_frequency,ask_clip_frequency,side_clip_frequency,approx_kl,clip_fraction,value_loss,latent_std_bid,latent_std_ask,latent_std_hedge
1,20480,PPO,5200,0.5412115384615385,10.82423076923077,0.2116383477468767,0.019552276023944833,0.891511775346713,0.019291096820544636,0.04147949853463912,0.1894499460327822,5.313938380992483,7.932774650301487,8.219358513270906,41.085892207799176,0.128663622882422,-0.1842529744124141,-0.02779467576499603,0.31291659729483606,0.2794066099765209,0.0,0.0,0.0,0.0,0.00036183884367346764,0.0,10534.1513671875,0.9813382625579834,0.9369395971298218,0.936225175857544
1,20480,A-S,5200,0.45878846153846153,9.17576923076923,0.15753113889793846,0.017168167042571993,0.7824383311832998,-0.001040585833985797,0.0,0.15649055306395265,2.7671153846153844,5.100576923076923,5.539247670570179,20.0,0.13839423151543506,-0.13839423151543506,0.0,0.2767884630308701,0.0,0.0001923076923076923,0.0,0.0001923076923076923,9.615384615384615e-05,nan,nan,nan,nan,nan,nan
1,60416,PPO,5200,0.7044519230769231,14.089038461538461,0.22547359334349484,0.016003476316642416,0.7291720715822884,0.021179077999794065,0.024635127777210476,0.22201754356607847,6.949545718496047,8.465384759109394,8.039753517004083,47.54545316497159,0.21514937220566097,-0.47678996637452375,-0.1308202970844314,0.6919393385801847,0.18667101007241468,0.0,0.0,0.0,0.0,0.0034809563017915933,0.00947265625,4185.613696289062,1.007925033569336,0.9126703143119812,0.849345326423645
1,60416,A-S,5200,0.29554807692307694,5.910961538461539,0.09768767769453138,0.016526529069576183,0.7543005237941058,0.013982558159787103,0.0,0.11167023585431847,6.469807692307692,7.935961538461538,6.235371492968598,23.0,0.3225769221531944,-0.3225769221531944,0.0,0.6451538443063888,0.0,0.003269230769230769,0.0015384615384615385,0.0015384615384615385,0.0015384615384615385,nan,nan,nan,nan,nan,nan
1,100352,PPO,5200,0.838125,16.7625,0.18525372893178302,0.011051676595482954,0.5036921771682912,0.015378873788196934,0.02262515097197553,0.17800745174800442,9.566122300383965,10.790584505854834,9.36107801978711,54.30383636800251,-0.058594513596550456,-0.6764396986280246,-0.3675171061122875,0.6178451850314741,0.14074911553699238,0.0,0.0,0.0,0.0,0.010017279325984419,0.05859375,23360.2130859375,0.826622724533081,0.7928658127784729,0.6613510847091675
1,100352,A-S,5200,0.161875,3.2375,0.06007913394439839,0.018557261450007224,0.8469637471215273,0.017893997801169927,0.0,0.07797313174556833,7.135192307692308,7.502884615384615,4.958790946927027,21.0,0.3560865392421301,-0.3560865392421301,0.0,0.7121730784842601,0.0,0.0007692307692307692,0.0001923076923076923,0.0001923076923076923,0.0001923076923076923,nan,nan,nan,nan,nan,nan
1,150528,PPO,5200,0.7985384615384615,15.97076923076923,0.2244540190376018,0.014054051861520197,0.6405124779695835,0.004704131548926901,0.014943937139583776,0.21421421344694497,11.787356289190903,12.602805330508728,11.687145600532432,67.13408019773809,0.2211593610566902,-0.6738423438552911,-0.22634149139930043,0.8950017049119813,0.11433199368417263,0.0,0.0,0.0,0.0,0.04606352272676304,0.2341796875,95882.9052734375,0.7601486444473267,0.8583327531814575,0.4932284653186798
1,150528,A-S,5200,0.20146153846153847,4.029230769230769,0.07240981684399965,0.0179711267463153,0.8200667042884947,0.03866492284870625,0.0,0.11107473969270591,9.948653846153846,10.362115384615384,5.736276106716378,26.0,0.49570192472077906,-0.49570192472077906,0.0,0.9914038494415581,0.0,0.009807692307692307,0.006923076923076923,0.007115384615384615,0.007019230769230769,nan,nan,nan,nan,nan,nan
1,204800,PPO,5200,0.8555769230769231,17.111538461538462,0.23790232740461315,0.013903035541739587,0.6337071248539169,0.02030237610152207,0.011665834321093483,0.24653886918504173,15.962037068158422,16.590142948086225,14.890220237736129,84.72561389412418,0.21465773682679215,-0.7553607074539468,-0.27035148531357733,0.970018444280739,0.09103589369700506,0.0,0.0,0.0,0.0,0.00477271678391844,0.0158203125,41699.79228515625,0.5242365598678589,0.8320253491401672,0.5040645003318787
1,204800,A-S,5200,0.14442307692307693,2.8884615384615384,0.05001134863437256,0.01731418195064829,0.7899116366331217,0.017207812773671775,0.0,0.06721916140804435,10.627692307692307,11.037307692307692,5.501804115079894,23.0,0.5302019247469993,-0.5302019247469993,0.0,1.0604038494939987,0.0,0.0025,0.001346153846153846,0.0015384615384615385,0.0014423076923076924,nan,nan,nan,nan,nan,nan
