count,epsilon_ask,epsilon_bid,epsilon_skew,inventory,mode,scenario,std_setting
2600,0.12723320952356937,0.08385305081995634,-0.043380158703613024,34.084623764478245,deterministic,random,1.0
2600,0.07725734890566226,0.053600135625680334,-0.02365721327998192,-34.8067373085022,stochastic,random,1.0
2600,0.07389654168962106,0.04707123403336692,-0.026825307656254155,-20.759055111958432,stochastic,random,1.0
2600,0.09277523662525569,0.055730566230721215,-0.037044670394534476,-13.455213081286503,stochastic,random,1.0
2600,0.08274068504773403,0.058032122295553566,-0.024708562752180464,-6.577477690715056,stochastic,random,1.0
2600,0.0929162885101127,0.07637363686322575,-0.016542651646886952,-1.2841532950746275,stochastic,random,1.0
2600,0.10325136244086584,0.09295321756819389,-0.010298144872671961,1.9929312709203133,stochastic,random,1.0
2600,0.06542115024371574,0.05114887666035569,-0.014272273583360051,7.551979312346532,stochastic,random,1.0
2600,0.06509436416130764,0.0886852579850081,0.023590893823700474,14.265256897119375,stochastic,random,1.0
2600,0.07311584062762379,0.051583701921526184,-0.021532138706097614,21.25838758468628,stochastic,random,1.0
2600,0.07665582699786262,0.08251721526187164,0.005861388264009013,34.98688905055706,stochastic,random,1.0
2600,-0.10269991150269142,0.03864700817359755,0.14134691967628896,-33.04252167188204,deterministic,random,0.5
2600,-0.10131073596385809,-0.004902827518347364,0.09640790844551073,-20.38954637307387,deterministic,random,0.5
2600,-0.07021071664702434,0.007762698114204865,0.07797341476122921,-12.991420888533959,deterministic,random,0.5
2600,-0.03982650760274667,0.006021655029975451,0.04584816263272212,-6.717502415088507,deterministic,random,0.5
2600,0.0366705220622512,-0.005445630226570826,-0.042116152288822026,-1.22404907599792,deterministic,random,0.5
2600,0.09288497670338704,-0.006655694178950328,-0.09954067088233737,3.3860987409720056,deterministic,random,0.5
2600,0.10420872695170916,-0.0029467744638140385,-0.1071555014155232,8.451709607747885,deterministic,random,0.5
2600,0.13951445792156916,-0.007228261163601509,-0.14674271908517067,14.127145532828111,deterministic,random,0.5
2600,0.13939959777662386,-0.015227918202200761,-0.15462751597882463,21.3813526564378,deterministic,random,0.5
