actor_first_layer_saturation,approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,latent_sigma_ask,latent_sigma_bid,policy_loss,relative_price,seed,training_step,value_loss
0.26872995495796204,0.014307460380950942,0.0580078125,0.033048180217305434,0.22908031664183884,0.15635300148756076,0.8299194767900232,4.221615099906922,0.9816529750823975,0.9894328713417053,-0.009670849400572478,True,3,60416,179.97944450378418
,0.008741905831266194,0.0455078125,-0.0063267389490740756,0.20217051416135534,0.12015039314611409,0.8140225962569827,4.216179347038269,0.979630172252655,0.9891031980514526,-0.008083238685503601,True,3,100352,1010.945964050293
,0.003643770050257444,0.06328125,0.13051450441879495,0.10352124577313167,0.24822483965530037,0.6334858774097963,4.214070618152618,0.9760874509811401,0.9912834167480469,-0.012437337322626262,True,3,149504,482.1780372619629
,0.029223594907671215,0.17275390625,0.39845877887251285,0.16937047724718607,0.47957200610484835,0.72146314931502,4.2029181003570555,0.9814270734786987,0.9856559634208679,-0.009996512881480157,True,3,199680,157.1580638885498
,0.00017601384897716343,0.0,0.42502040803814545,0.19629183423124383,0.48842331698307623,0.6984119673108921,4.2026479840278625,0.984048068523407,0.9879664778709412,-0.0006995522358920425,True,3,204800,1884.3648681640625
,0.00427608325262554,0.03505859375,-0.03001364248025661,0.20039178678273492,0.16976315382575521,0.076985144923944,4.252119314670563,0.999496579170227,1.0004169940948486,-0.005103521887212992,True,4,10240,1904.1311462402343
0.45648035407066345,0.0029650177282746883,0.03271484375,-0.0031157572359706348,0.2910674368310957,0.1776101678633728,0.17475788336750794,4.241145515441895,0.9952534437179565,0.9971362948417664,-0.006165879580657929,True,4,20480,429.3712440490723
,0.001395387330558151,9.765625e-05,-0.058801044373271556,0.3450093067049081,0.1336943086457606,0.21458921173231577,4.236351084709168,0.9974992871284485,0.9935277104377747,-0.001720507931895554,True,4,39936,1141.0923400878905
0.3557191491127014,0.012035408691735939,0.036328125,0.1640989786061721,0.47798124484814064,0.23948803696936619,0.17826852602169457,4.22944608926773,0.9925926923751831,0.9917864799499512,-0.010496288957074284,True,4,60416,108.92071914672852
,-0.000228377606254071,0.0001953125,-0.09127010550672332,0.28633440125162957,0.0674787616625858,0.5627047903329597,4.210856676101685,0.9844410419464111,0.9816322922706604,-0.0017355067713651807,True,4,100352,8177.631213378906
